Column1(adresy) Column2(symbole)
/dla-poczatkujacych/zakladanie-firmy/139-zakladanie-firmy-krok-po-kroku A1
/dla-poczatkujacych/zakladanie-firmy/135-korzysci-i-koszty-prowadzenia-firmy A2
/dla-poczatkujacych/zakladanie-firmy/145-wybor-opodatkowania-porownanie A3
/150-kiedy-warto-zostac-vatovcem B
/151-oplacanie-zus-u-preferencyjny C
/146-polska-klasyfikacja-dzialalnosci-pkd-2007 D
/oferty-dla-firm/porady-prawne-przez-internet-e-prawnik E1
/dla-poczatkujacych/zakladanie-firmy/430-terminarz-przedsi%C4%99biorcy A4
/dla-poczatkujacych/jak-wypelnic-druk/463-ceidg-1 A5
/dla-poczatkujacych/jak-wypelnic-druk/446-vat-r A6
/dla-poczatkujacych/jak-wypelnic-druk/442-jak-wypelnic-zus-zua A7
/dla-poczatkujacych/jak-wypelnic-druk/jak-wypelnic-zus-zza A8
/dla-poczatkujacych/jak-wypelnic-druk/zus-zcna A9
/dla-poczatkujacych/jak-wypelnic-druk/592-jak-wype%C5%82ni%C4%87-formularz-zus-zua-papierowy A10
/dla-poczatkujacych/jak-wypelnic-druk/593-jak-wype%C5%82ni%C4%87-formularz-zus-zza-papierowy A11
/dla-poczatkujacych/jak-wypelnic-druk/635-jak-wype%C5%82ni%C4%87-formularz-zus-zcna-papierowy A12
/oferty-dla-firm/ksiegowosc-internetowa/148-korzysci-i-wady-ksiegowosci-internetowej E2
/oferty-dla-firm/ksiegowosc-internetowa/147-porownanie-ofert-ksiegowosci-internetowej E3
/oferty-dla-firm/579-firmowa-strona-internetowa-%E2%80%93-powierz-profesjonalistom E4
/oferty-dla-firm/serwer-dla-firmy-hosting-domena-www-propozycja E5
/oferty-dla-firm/542-narz%C4%99dzia-do-przeprowadzania-kampanii-mailowych E6
/pliki-do-pobrania F
/ranking-kont-firmowych G
/porady/twoj-pomysl/437-zaprojektuj-swoj%C4%85-firm%C4%99 H1
/porady/twoj-pomysl/442-jak-sfinansowa%C4%87-swoj%C4%85-firm%C4%99 H2
/informacje-i-porady-dla-przedsiebiorcow/443-franczyza-pomysl-na-biznes I1
/informacje-i-porady-dla-przedsiebiorcow/106-firma-calkowicie-on-line I2
/porady/twoj-pomysl/577-promocja-sklepu-internetowego-%E2%80%93-4-sprawdzone-sposoby H3
/porady/pracownicy/464-rekrutuj-skutecznie H4
/informacje-i-porady-dla-przedsiebiorcow/prowadzenie-firmy/441-umowa-o-dzieo-zlecenie I3
/porady/pracownicy/511-umowa-o-prac%C4%99-%E2%80%93-wymagania-i-czas-trwania H5
/porady/pracownicy/512-obowi%C4%85zki-pracodawcy-%E2%80%93-zus,-bhp-i-badania-lekarskie H6
/porady/pracownicy/513-akta-osobowe-pracownika H7
/porady/pracownicy/530-efektywne-zarz%C4%85dzanie-zespo%C5%82em H8
/porady/pracownicy/372-korzy%C5%9Bci-z-zatrudnienia-niepe%C5%82nosprawnego-pracownika H9
/porady/pracownicy/522-jak-zwalnia%C4%87-pracownik%C3%B3w H10
/porady/pracownicy/521-mo%C5%BCliwo%C5%9Bci-wypowiedzenia-umowy-zlecenia-2 H11
/porady/kontrahenci/539-kiedy-nie-ufa%C4%87-kontrahentowi H12
/porady/kontrahenci/453-jak-sprawdzi%C4%87-wiarygodno%C5%9B%C4%87-firmy H13
/porady/kontrahenci/485-negocjowanie-i-podpisywanie-um%C3%B3w H14
/porady/kontrahenci/492-odzyskiwanie-zaleg%C5%82ych-nale%C5%BCno%C5%9Bci H15
/porady/prawo/508-jednolity-plik-kontrolny-%E2%80%93-co-musisz-wiedzie%C4%87 H16
/porady/prawo/475-czynny-%C5%BCal-%E2%80%93-warto-korzysta%C4%87 H17
/porady/prawo/510-podr%C3%B3%C5%BCe-s%C5%82u%C5%BCbowe-jako-koszty-uzyskania-przychodu H18
/porady/prawo/478-wszystko-o-kasach-fiskalnych H20
/porady/prawo/571-amortyzacja-%C5%9Brodk%C3%B3w-trwa%C5%82ych H22
/porady/prawo/517-karta-podatkowa-i-rycza%C5%82t-%E2%80%93-najprostsze-metody-rozlicze%C5%84-podatkowych H23
/porady/prawo/501-w-internecie-zgodnie-z-prawem H24
/porady/prawo/468-utrata-i-wyga%C5%9Bni%C4%99cie-koncesji-%E2%80%93-czym-si%C4%99-r%C3%B3%C5%BCni%C4%85 H25
/porady/prawo/531-jak-zawiesi%C4%87-dzia%C5%82alno%C5%9B%C4%87 H26
/porady/prawo/541-rozliczenia-vat-w-unii-europejskiej H27
/informacje-i-porady-dla-przedsiebiorcow/prowadzenie-firmy/153-publiczne-odtwarzanie-utworow-muzycznych-i-video I4
